city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Buenos Aires,Recoleta Cemetery,True,GOOD,GOOD,GOOD,HIGH,"Stunning city of mausoleums (Eva Peron's tomb); the MAIN entrance isn't accessible but there's a separate accessible entrance, and inside the walkways are paved and wide - easy to maneuver. A must-see.",curbfreewithcorylee firsthand; wheelchairtravel.org
Buenos Aires,Casa Rosada & Plaza de Mayo,True,GOOD,GOOD,GOOD,HIGH,"The iconic pink presidential palace on the flat historic Plaza de Mayo (Cathedral, Cabildo nearby); great to see from the square even without a tour, and accessible guided tours (EN/ES) are available. Central and easy.",curbfreewithcorylee firsthand; wheelchairtravel.org
Buenos Aires,La Boca & Caminito,True,TOUGH,GOOD,TOUGH,HIGH,"Buenos Aires' most colourful, photogenic barrio with tango on the street; wheelchair routes lead along Caminito and street souvenirs/outdoor dining are accessible, but most shops have a step to enter. Vibrant, hit-or-miss access. Stay in the tourist core for safety.",curbfreewithcorylee firsthand; disabledtours
Buenos Aires,Teatro Colon,True,GOOD,GOOD,GOOD,HIGH,"One of the world's great opera houses; fully wheelchair accessible with elevators, guided tours daily, and FREE entry for disabled visitors + a companion. A superb, easy accessible highlight.",wheelchairtravel.org firsthand
Buenos Aires,Palermo Parks (Bosques de Palermo),False,GOOD,EXCELLENT,GOOD,HIGH,"Large green parks with lakes, rose garden and wide flat paths in the trendy Palermo district (boutiques, cafes, street art nearby); relaxed and stroller/wheelchair-friendly. Great family day.",disabledtours; cooldestinations
Buenos Aires,Puerto Madero,False,EXCELLENT,GOOD,GOOD,MEDIUM,"Modern regenerated waterfront district with wide flat promenades, the Puente de la Mujer footbridge and dining; smooth and fully accessible strolling. Easy and pleasant.",getyourguide; general
Buenos Aires,San Telmo,True,TOUGH,GOOD,TOUGH,MEDIUM,"The oldest, most atmospheric barrio with its Sunday antiques market and Plaza Dorrego; charming but cobblestoned and uneven, so bumpy for wheels. The market is lively but tight.",contexttravel; wheelchairtravel.org
Buenos Aires,MALBA (Latin American Art Museum),False,GOOD,GOOD,GOOD,MEDIUM,Modern art museum in Palermo; fully wheelchair accessible with lifts - a reliable accessible cultural stop and good rainy-day option.,wheelchairtravel.org
Buenos Aires,Metropolitan Cathedral,True,GOOD,GOOD,GOOD,MEDIUM,On Plaza de Mayo (where Pope Francis served as Archbishop); wheelchair accessible main floor. Combine with Casa Rosada and the Cabildo for an accessible historic-centre loop.,wheelchairtravel.org
Buenos Aires,El Ateneo Grand Splendid,False,GOOD,GOOD,GOOD,LOW,"A famous bookshop in a converted grand theatre; the stunning ground floor is accessible and reachable, though the upper balcony levels have stairs. A quick, beautiful stop.",general accessibility reports
