city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Florence,Uffizi Gallery,True,GOOD,GOOD,GOOD,HIGH,"Fully accessible with lifts to all floors, step-free entrance, free disabled entry plus companion and priority access; book a timed slot to skip the huge queue. Flat once inside.",Uffizi access; wheeltheworld,43.7683129,11.2558009
Florence,Galleria dell'Accademia (David),True,GOOD,GOOD,GOOD,HIGH,"Step-free accessible entrance, free disabled entry and priority booking; the galleries are flat and compact. Reserve ahead as queues are long.",Accademia access,43.7769174,11.2587579
Florence,Florence Cathedral (Duomo) floor,True,TOUGH,GOOD,TOUGH,MEDIUM,"The cathedral interior has a step-free accessible entrance and is largely flat, but it is very crowded; the dome and bell tower climbs are hundreds of steps with no lift and are not accessible. Floor yes, climbs no.",Opera del Duomo access,43.7727782,11.2547800
Florence,Ponte Vecchio,True,TOUGH,GOOD,TOUGH,MEDIUM,"The famous bridge is crossable and roughly level but paved in uneven stone and intensely crowded, with a slight hump; manageable slowly but tight with wheels or a stroller.",firsthand,43.7680254,11.2531580
Florence,Piazza della Signoria,True,TOUGH,GOOD,TOUGH,MEDIUM,A grand open square lined with sculpture; flat overall but paved in hard uneven stone and busy. The Loggia has a couple of steps; the square itself is step-free to cross.,firsthand,43.7695737,11.2558641
Florence,Pitti Palace,True,GOOD,GOOD,TOUGH,MEDIUM,"The palace has accessible routes and lifts to the main galleries with free disabled entry, though some rooms and the vast scale tire; the entry courtyard is cobbled and sloped. Partly accessible.",Pitti / Uffizi access,43.7673999,11.2525885
Florence,Boboli Gardens,True,TOUGH,TOUGH,FAIL,MEDIUM,A large hillside Renaissance garden with steep gravel paths and stairs; only limited flat sections near the entrance are manageable. Hard for wheels and seniors overall.,Boboli access,43.7632781,11.2498992
Florence,Piazzale Michelangelo,True,TOUGH,GOOD,TOUGH,MEDIUM,"The classic panoramic terrace; the viewpoint itself is a flat paved platform, but reaching it means a steep climb or a bus/taxi. Take accessible transport up, then the terrace is easy.",firsthand,43.7628279,11.2649932
Florence,Mercato Centrale,False,GOOD,GOOD,GOOD,MEDIUM,"The ground-floor market and upper food hall have lift access and flat aisles, though busy; more manageable than the street markets. A good accessible lunch stop.",firsthand,43.7765847,11.2532087
Florence,Santa Croce Basilica,True,TOUGH,GOOD,TOUGH,MEDIUM,"The church has a step-free accessible entrance and largely flat nave, but the cloisters and some chapels have steps and the piazza outside is uneven stone. Partly accessible.",Santa Croce access,43.7683650,11.2630201
Florence,Bardini Garden viewpoint,False,TOUGH,TOUGH,TOUGH,LOW,"A quieter hillside garden with wisteria and views; terraced and stepped with steep paths, only partly accessible near the top entrance. Lovely but hard on wheels.",firsthand,,
