city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Marrakech,Jemaa el-Fnaa,True,TOUGH,GOOD,TOUGH,HIGH,"The legendary main square; it's flat and rollable (Marrakech is a flat city), full of food stalls, musicians, snake charmers and henna artists - chaotic and magical. No cars. Watch for pickpockets and pushy performers. Uneven in patches.",curbfreewithcorylee firsthand; travelguide-marrakech; accesstravel
Marrakech,Jardin Majorelle (& YSL/Berber Museum),True,GOOD,GOOD,GOOD,HIGH,"Yves Saint Laurent's famous cobalt-blue botanical garden; wide paved accessible paths, benches, shaded cafe and the fully accessible Berber Museum. A tranquil, accessible escape from the medina - a highlight. Very busy at peak.",curbfreewithcorylee firsthand; strivemobility; limitlesstravel
Marrakech,Bahia Palace,True,TOUGH,GOOD,TOUGH,MEDIUM,19th-century palace with stunning ornate courtyards and zellige tilework; offers limited/partial accessibility - some ground-level courtyards are reachable but there are thresholds and it sits in the harder-to-navigate medina. Take transport to the door.,strivemobility; limitlesstravel; access travel
Marrakech,Saadian Tombs,True,GOOD,GOOD,TOUGH,MEDIUM,16th-century royal necropolis with breathtaking tilework; features wheelchair ramps making the main areas accessible. Impressive and worth it; can get a queue in the narrow entry.,curbfreewithcorylee firsthand; accesstravel
Marrakech,Le Jardin Secret,False,GOOD,GOOD,GOOD,MEDIUM,"A restored historic riad-garden in the medina with fountains and Islamic-garden design; the main garden areas have wheelchair-accessible paths and assistance is available, though some older sections are uneven and the tower is not accessible. Peaceful.",tours-marrakesh official; strivemobility
Marrakech,Koutoubia Mosque,True,TOUGH,GOOD,TOUGH,MEDIUM,"The city's iconic 77m minaret; non-Muslims cannot enter but the exterior and surrounding gardens are admired from paved accessible paths - a lovely sunset spot. Grounds accessible, mosque interior closed to visitors.",strivemobility; accesstravel
Marrakech,The Souks (medina markets),True,TOUGH,GOOD,FAIL,HIGH,"The maze of covered markets (leather, spices, lanterns, textiles); atmospheric but genuinely hard - narrow, crowded, competitive, with steps into most stalls and rough patches. Doable in short bursts with a companion; not for the faint-hearted.",travelguide-marrakech firsthand; accesstravel
Marrakech,El Badi Palace,True,TOUGH,GOOD,TOUGH,LOW,Ruined 16th-century palace with a photography museum inside; the vast open courtyard is partly navigable but the ruins have uneven ground and levels. Storks nest on the walls. Partly manageable.,travelguide-marrakech
Marrakech,Menara Gardens,False,GOOD,GOOD,GOOD,LOW,"Historic olive-grove gardens with a pavilion and reflecting pool framed by the Atlas Mountains; the main paths are flat and accessible. A calm, scenic, low-key stop.",travelguide-marrakech
Marrakech,Medina (old town) general,True,TOUGH,GOOD,TOUGH,MEDIUM,"The walled old city; Marrakech is flat and medina lanes are wider than in Fes, so with help it's navigable, but roads are rough, cars can't enter, and tourist infrastructure is only lightly adapted. A horse-carriage (caleche) is a popular accessible way to tour it.",travelguide-marrakech firsthand; limitlesstravel
