city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Mexico City,Zocalo (Plaza de la Constitucion),True,GOOD,GOOD,GOOD,MEDIUM,"The vast central square is flat and open, easy to roll across, ringed by the Cathedral, National Palace and Templo Mayor. A good accessible orientation point; surrounding historic-centre sidewalks vary.",wheelchairtraveling.com firsthand; cooldestinations,19.4326468,-99.1331985
Mexico City,National Museum of Anthropology,True,GOOD,GOOD,GOOD,HIGH,World-class museum in Chapultepec; impressive and accessible with ramps/lifts and wide galleries. A must-see and a reliable accessible day. Vast - pace yourself.,wheelchairtraveling.com firsthand; cooldestinations,19.4261524,-99.1866516
Mexico City,Chapultepec Park (Bosque de Chapultepec),True,GOOD,EXCELLENT,GOOD,MEDIUM,"Huge city park with the museum, zoo, lake and wide paths; largely flat and accessible, great for families. The park is easy; the hilltop Castle within it is the hard part.",wheelchairtraveling.com; cooldestinations,19.4236510,-99.1933934
Mexico City,Chapultepec Castle,True,TOUGH,TOUGH,FAIL,MEDIUM,Hilltop castle with city views; reaching it involves a steep climb up the hill (a road-train/vehicle assist may help) and the historic building has steps. Views are great but access is genuinely tough.,cooldestinations; general,19.4204632,-99.1820866
Mexico City,Frida Kahlo Museum (Casa Azul),True,TOUGH,GOOD,TOUGH,HIGH,"Casa Azul in Coyoacan; better than expected for a historic house - ramps, an elevator, Braille labels and FREE disabled entry cover the ground floor and garden, but a small upstairs portion is stairs and rooms are narrow/tight. Book online well ahead.",wheelchairtraveling.com firsthand; museofridakahlo; sociallifemagazine,19.3551412,-99.1623564
Mexico City,Coyoacan,True,TOUGH,GOOD,TOUGH,MEDIUM,"Charming colonial neighbourhood around Casa Azul; one of the more accessible districts but with cobblestone streets, a lively market and plazas. Atmospheric, navigable with care.",wheelchairtraveling.com firsthand; sociallifemagazine,19.3498606,-99.1619751
Mexico City,Palacio de Bellas Artes,True,GOOD,GOOD,GOOD,MEDIUM,"Iconic art-nouveau/deco cultural palace with murals; accessible with lifts, and the surrounding Alameda Central park is flat. A strong central accessible stop.",cooldestinations; general,19.4355009,-99.1412585
Mexico City,Templo Mayor,True,TOUGH,GOOD,TOUGH,MEDIUM,"Aztec ruins beside the Cathedral; the museum is accessible but the archaeological site itself has raised walkways, ramps in parts and some uneven/stepped sections over the ruins. Partly manageable.",cooldestinations; general,19.4350622,-99.1314324
Mexico City,Roma & Condesa neighbourhoods,False,GOOD,GOOD,GOOD,MEDIUM,"Trendy leafy districts with parks (Parque Mexico/Espana), cafes and European vibe; among the more accessible areas to stroll, though sidewalk/curb-cut quality is inconsistent. Uber is the easy way between sights.",wheelchairtraveling.com firsthand,19.4162447,-99.1592444
Mexico City,Xochimilco (trajineras),False,TOUGH,GOOD,TOUGH,LOW,"Famous canal boats (colourful trajineras); boarding the flat-bottomed boats can be managed with assistance from the dock but is not step-free. A fun, festive experience if you have help.",general accessibility reports,19.2633607,-99.1047377
