city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Montreal,Old Montréal (Vieux-Montréal),True,TOUGH,TOUGH,TOUGH,HIGH,"Beautiful historic quarter paved in uneven cobblestones with some slopes down to the waterfront; charming but jarring for wheels and strollers, though shops and the waterfront promenade are flatter.",firsthand,45.5022121,-73.5554129
Montreal,Notre-Dame Basilica,True,TOUGH,GOOD,TOUGH,MEDIUM,"A ramped accessible entrance and largely flat nave, but the cobbled square outside and some interior steps complicate access; the light show is seated. Partly accessible.",Basilique Notre-Dame access,45.5044365,-73.5559901
Montreal,Mont-Royal Park,True,TOUGH,TOUGH,TOUGH,MEDIUM,"The mountain park has some accessible paved paths and a shuttle/road to the Kondiaronk lookout, but many trails are steep gravel or stairs. Take the road/shuttle up; then the lookout terrace is accessible.",firsthand,45.5078944,-73.5717855
Montreal,Montreal Museum of Fine Arts,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"Fully accessible across its pavilions with lifts, step-free entrances, loaner wheelchairs and free collection entry. Flat and easy.",MMFA access,45.4986971,-73.5793846
Montreal,Jean-Talon Market,True,GOOD,GOOD,GOOD,MEDIUM,"A large, mostly flat open-air/covered market at ground level with wide aisles; step-free and navigable though busy on weekends. Good accessible food stop.",firsthand,45.5359145,-73.6150625
Montreal,Underground City (RÉSO),False,EXCELLENT,GOOD,EXCELLENT,MEDIUM,"A vast climate-controlled network linking downtown with elevators and level passages throughout; a genuinely accessible way to move around, especially in winter. Some elevators tucked away.",RÉSO access,45.4995390,-73.5658697
Montreal,Old Port waterfront,False,GOOD,EXCELLENT,GOOD,MEDIUM,"The riverside promenade is flat and largely paved/step-free with ramps, distinct from the cobbled streets behind it; easy and scenic.",firsthand,45.5042344,-73.5529866
Montreal,Notre-Dame-des-Neiges / Oratory,True,TOUGH,GOOD,TOUGH,MEDIUM,St. Joseph's Oratory has lifts and an accessible route to the main levels but sits on a hill with many external steps; use the accessible entrance and internal lifts. Partly accessible.,Oratoire access,45.5021878,-73.6051991
Montreal,Biodôme / Olympic Park,True,GOOD,EXCELLENT,GOOD,MEDIUM,The Biodôme and Olympic Park facilities are modern and largely accessible with lifts and step-free routes; the tower funicular is accessible. Good for families.,Espace pour la vie access,45.5596817,-73.5495704
Montreal,Plateau Mont-Royal murals,False,TOUGH,GOOD,TOUGH,MEDIUM,"A vibrant neighborhood to wander for murals and cafes; mostly flat sidewalks but famous for outdoor spiral staircases and the odd hill, and some shops have steps. Sidewalk strolling is fine.",firsthand,45.5180148,-73.5817407
Montreal,Atwater Market,False,GOOD,GOOD,GOOD,LOW,A flat covered market with lift access and wide aisles beside the accessible Lachine Canal path; easy and pleasant.,firsthand,45.4796443,-73.5767813
