city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Osaka,Dotonbori,True,GOOD,GOOD,GOOD,HIGH,"The iconic neon canal district is flat and largely step-free along the main streets and riverside walk, though intensely crowded at night; navigable with patience. Some shops have a step.",firsthand,34.6690306,135.5015715
Osaka,Osaka Castle,True,TOUGH,GOOD,TOUGH,HIGH,"The reconstructed keep has lifts inside to most viewing floors and an accessible entrance, but the outer approach crosses uneven stone paths, slopes and some steps within the park. Interior accessible; approach tiring.",Osaka Castle access,34.6873735,135.5258555
Osaka,Umeda Sky Building,True,GOOD,GOOD,GOOD,MEDIUM,Lifts and an accessible route reach the Floating Garden Observatory; the escalator bridge has a lift alternative. The deck is accessible. Book/verify the lift route.,Umeda Sky access,34.7052927,135.4905349
Osaka,Kuromon Ichiba Market,True,GOOD,GOOD,GOOD,MEDIUM,"A flat covered market at ground level with wide-ish aisles; step-free but busy, manageable outside peak times. Good accessible food stop.",firsthand,34.6657953,135.5070154
Osaka,Osaka Aquarium Kaiyukan,True,EXCELLENT,EXCELLENT,GOOD,MEDIUM,"One of the world's great aquariums, fully accessible with lifts and a spiral step-free route down past the tanks; excellent for families and wheelchairs.",Kaiyukan access,34.6545464,135.4289211
Osaka,Shinsekai / Tsutenkaku,True,TOUGH,GOOD,TOUGH,MEDIUM,"The retro district is flat and walkable but crowded and slightly rough; the Tsutenkaku tower has a lift to the observation deck. Streets manageable, tower accessible.",firsthand,34.6520901,135.5061908
Osaka,Shitenno-ji Temple,True,GOOD,GOOD,TOUGH,MEDIUM,"One of Japan's oldest temples with largely flat grounds and ramped access to main areas, though some halls have steps and gravel courtyards. Partly accessible.",firsthand,34.6547194,135.5167979
Osaka,Namba Parks,False,EXCELLENT,EXCELLENT,GOOD,MEDIUM,A terraced rooftop-garden mall with lifts and escalators connecting flat levels and accessible paths through the greenery; easy and pleasant.,Namba Parks access,34.6616791,135.5020843
Osaka,Universal Studios Japan,True,TOUGH,GOOD,TOUGH,MEDIUM,"The park offers accessibility support and most areas are navigable and flat, but it's vast with long distances and crowds; some rides have transfer requirements. Plan with the guest-services access guide.",USJ access,34.6656393,135.4324527
Osaka,Nakanoshima museums,False,GOOD,GOOD,GOOD,LOW,The river-island museums (including the striking new Nakanoshima Museum of Art) are modern and accessible with lifts and step-free entries on flat ground.,firsthand,34.6923805,135.4913682
Osaka,Sumiyoshi Taisha,True,TOUGH,GOOD,TOUGH,LOW,"A famous shrine whose signature arched Taiko-bashi bridge is steeply stepped and not accessible, though there is a flat alternative route around it to the shrine halls. Use the level path.",firsthand,34.6130027,135.4931012
