city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Prague,Prague Castle,True,GOOD,GOOD,GOOD,HIGH,"Barrier-free via tram 22 to Prazsky hrad (2nd Courtyard, no significant stairs); courtyards, gardens, St Vitus & St George accessible; free entry for wheelchair users. Avoid Malostranska/Old Castle Stairs entrance. Some historic buildings & towers have steps.",castleofprague.com FAQ; wheelchairtravel.org; Prague City Tourism,50.0908114,14.4005225
Prague,St. Vitus Cathedral,True,GOOD,GOOD,GOOD,HIGH,Main entrance has steps but a ramped alternative entrance exists; interior largely accessible. Inside Prague Castle complex.,vacatis.com; wheelchairtravel.org; Barrier-free Czechia,50.0908638,14.4005710
Prague,Charles Bridge,True,TOUGH,GOOD,TOUGH,HIGH,"Step-free to roll onto, but surface is bumpy old cobbles and it is extremely crowded by day (shoulder-to-shoulder). Cross early morning or at night. Fine for strollers but jostling.",nolarolla firsthand; arosieworld; timeout; Barrier-free Czechia,50.0861752,14.4136092
Prague,Old Town Square & Astronomical Clock,True,TOUGH,GOOD,TOUGH,HIGH,Open and reachable but paved with uneven cobblestones; very crowded on the hour at the clock. Navigable with effort; sidewalks bumpy. Clock viewed from square (free).,spintheglobe; nolarolla; visitcity senior guide,50.0874453,14.4209714
Prague,Jewish Quarter (Josefov),True,TOUGH,GOOD,TOUGH,MEDIUM,"Streets walkable but cobbled; several synagogues & the Old Jewish Cemetery have steps (Spanish Synagogue has an electric platform lift on request). Museum spread across sites, partial access.",spintheglobe; guruwalk; tripadvisor Accessible Prague,50.0897547,14.4180959
Prague,Petrin Hill & Lookout Tower,True,TOUGH,TOUGH,TOUGH,MEDIUM,"Hilltop park paths mostly flat/accessible once up top, but the funicular is CLOSED for reconstruction until ~summer 2026; getting up is otherwise a steep climb. Tower has a lift to a 20m gallery only. Sources conflict on funicular step-free access.",viewfromprague; praguehere; prague.eu; praguedaily.news (closure),50.0835331,14.3962198
Prague,Letna Park,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Large flat park with wide paved paths, beer garden with skyline views, metronome, biking/skating paths; relaxed and family-friendly. Some approaches from the river involve stairs.",viewfromprague; nolarolla; timeout,50.0964045,14.4141409
Prague,Prague Zoo,False,GOOD,EXCELLENT,GOOD,HIGH,"Lends strollers, carts and wheelchairs free at the main entrance; a top family pick. Set on rugged riverside terrain so some internal slopes, but well set up for families and wheels.",wheelchairtraveling.com; tripadvisor forum,50.1174212,14.4058116
Prague,Vltava River Cruise,False,GOOD,GOOD,EXCELLENT,MEDIUM,Relaxed seated way to see the sights from the water; accessible cruise operators exist (check individual boat for step-free boarding). Good low-effort option for seniors/toddlers.,thetravelexpert; pragueexperience accessibility; sagetraveling,,
Prague,Lesser Town (Mala Strana),True,TOUGH,GOOD,TOUGH,MEDIUM,"Pretty Baroque quarter below the castle; cobbled, some gentle hills, less crowded than Old Town. Charming but bumpy; Lennon Wall and gardens here.",timeout; travel expert; freewalkingtour,50.0864625,14.4022722
Prague,Wenceslas Square,True,GOOD,GOOD,GOOD,MEDIUM,"Broad New Town boulevard-square, smoother and flatter than the medieval core; wide pavements. National Museum at the top.",spintheglobe; visitcity senior guide,50.0815867,14.4271699
Prague,National Museum,False,GOOD,GOOD,GOOD,LOW,Recently renovated main building at the top of Wenceslas Square; renovation expected to add full step-free access (elevators). Confirm current lift access on arrival.,wheelchairtravel.org (noted renovation),50.0789190,14.4309678
Prague,Vysehrad,False,GOOD,GOOD,GOOD,MEDIUM,"Hilltop fortress, park and cemetery (famous Czechs); grounds are wheelchair accessible and great for a picnic/views, though the basilica itself is not step-free.",nolarolla firsthand; tripadvisor forum,50.0642146,14.4194469
Prague,Lennon Wall,False,GOOD,GOOD,GOOD,LOW,"Outdoor graffiti wall in Mala Strana, viewable at street level; approach streets are cobbled. Little dedicated accessibility info in sources.",bontraveler; arosieworld (mention only),50.0862417,14.4068148
