city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
San Francisco,Golden Gate Bridge,True,GOOD,GOOD,GOOD,HIGH,"Wheelchair accessible - you can roll across the East (city-facing) sidewalk free of charge during daylight; Welcome Center and vista points accessible. Parking very limited, arrive by Muni/accessible rideshare.",wheelchairtravel.org firsthand; sftravel official,37.8176155,-122.4783123
San Francisco,Alcatraz Island,True,TOUGH,GOOD,TOUGH,HIGH,"The ferry is wheelchair accessible with boarding ramps, but the island is very steep; a free SEAT tram assists up to the cellhouse. Electric chairs manage; manual users likely need assistance. Book well ahead.",wheeltheworld; wheelchairtravel.org,37.8267214,-122.4227590
San Francisco,Fisherman's Wharf & Pier 39,True,GOOD,EXCELLENT,GOOD,HIGH,"Level, accessible waterfront with ramps; sea lions at Pier 39, shops and food. Some sections are wooden boardwalk (a bit bumpy) and it gets crowded. Fun for families.",fodors; wheeltheworld; emerginghorizons,37.8081325,-122.4165913
San Francisco,Golden Gate Park,True,GOOD,EXCELLENT,GOOD,HIGH,"Large park; JFK Drive is car-free with disabled-only parking lots, paved and relaxed for wheels/strollers. De Young, Academy of Sciences, Japanese Tea Garden nearby. Great family day.",sftravel firsthand (Golden Gate Park guide),37.7693681,-122.4821837
San Francisco,Cable Cars,True,FAIL,TOUGH,FAIL,HIGH,"The iconic cable cars are NOT wheelchair accessible (steps, no lift). For accessible transit use Muni buses/streetcars and BART, which are fully accessible. See the F-line historic streetcar as an alternative.",fishermanswharf.org official; wheelchairtravel.org,37.7903163,-122.4220236
San Francisco,Ferry Building Marketplace,False,GOOD,EXCELLENT,GOOD,HIGH,"Historic landmark food hall on the Embarcadero; flat, spacious and fully accessible, plenty of room to move. Accessible ferries to Sausalito/Alcatraz depart nearby. Family-friendly.",fodors firsthand,37.7955487,-122.3934746
San Francisco,Bay Cruise (Blue & Gold Fleet),False,GOOD,GOOD,GOOD,MEDIUM,Narrated bay cruise under the Golden Gate and around Alcatraz; the enclosed lower deck is wheelchair accessible with accessible restrooms (upper open deck is stairs-only). Relaxed and scenic.,wheelchairtravel.org; emerginghorizons,37.8087343,-122.4109354
San Francisco,Lombard Street,True,TOUGH,GOOD,TOUGH,MEDIUM,The famously crooked street is on a very steep hill; you can view it but the surrounding Russian Hill grade is hard for manual chairs/strollers. Photo stop more than a roll.,fodors (hilly-neighbourhoods note),37.8020985,-122.4187992
San Francisco,Chinatown,True,TOUGH,GOOD,TOUGH,MEDIUM,North America's oldest Chinatown; the main flat stretches are navigable but many surrounding blocks are hilly and sidewalks get crowded and tight. Great food and atmosphere.,wheelchairtravel.org,37.7943011,-122.4063757
San Francisco,Crissy Field,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Flat hard-packed shoreline trail with Golden Gate Bridge views, picnic spots and the Warming Hut cafe; easy strolling/rolling from Marina Green to Fort Point. Lovely and relaxed.",fodors firsthand,37.8045961,-122.4666072
