city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Sydney,Sydney Opera House,True,GOOD,GOOD,GOOD,HIGH,"Step-free access throughout with accessible tours, lifts and accessible amenities; the wide smooth forecourt is great for rolling and photos. Book accessible tour spots ahead.",roamabletravel firsthand; australia.com official,-33.8571980,151.2151234
Sydney,Sydney Harbour Bridge,True,TOUGH,GOOD,TOUGH,MEDIUM,"The bridge and Pylon Lookout involve stairs, but BridgeClimb can support some mobility needs (ask ahead) and you get great harbour views from the accessible foreshore at Circular Quay / Dawes Point without climbing.",australia.com (BridgeClimb note); general,-33.8521165,151.2107812
Sydney,Taronga Zoo,True,GOOD,EXCELLENT,GOOD,HIGH,"Over 95% of exhibits wheelchair-viewable, elevators/ramps, accessible ferry from Circular Quay + free accessible shuttle; the Sky Safari cable car takes MANUAL chairs (width limits, not electric). Site is hilly - come with a charged chair/companion. Free companion card entry.",taronga.org.au official; wheelchairtraveling firsthand,-33.8438318,151.2413746
Sydney,Darling Harbour,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"Modern precinct completely free of steps; level access to SEA LIFE Aquarium, WILD LIFE Zoo, Madame Tussauds (all step-free with lifts) plus waterfront dining. A top family pick.",specialneedsatsea; roamabletravel firsthand,-33.8675516,151.1995619
Sydney,Royal Botanic Garden,False,EXCELLENT,EXCELLENT,GOOD,HIGH,"74-acre harbourside garden right by the Opera House; wide smooth flat/gently-sloping paths, roll right to the water's edge for skyline views. Free and lovely for families.",roamabletravel firsthand; australia.com,-33.8627694,151.2157110
Sydney,Bondi Beach,True,GOOD,GOOD,GOOD,HIGH,"Accessible parking, an accessible promenade and lookouts, plus beach matting and beach wheelchairs (book ahead via the Accessible Beaches directory). Bondi Pavilion accessible.",australia.com; wheelaway; specialneedsatsea,-33.8906977,151.2724119
Sydney,Circular Quay & ferries,True,GOOD,GOOD,GOOD,HIGH,"The quay is flat and paved; Sydney's ferries are wheelchair accessible - a ferry ride (e.g. to Manly) is a cheap, scenic accessible way to see the harbour. Note occasional wharf works.",wheelchairtraveling firsthand; captaincook,-33.8613593,151.2107193
Sydney,The Rocks,True,TOUGH,GOOD,TOUGH,MEDIUM,Historic harbourside district with weekend markets and pubs; charming but features cobblestone laneways and uneven terrain and some slopes. Navigable with care.,specialneedsatsea,-33.8599920,151.2083216
Sydney,Sydney Tower Eye,True,GOOD,GOOD,GOOD,MEDIUM,"City-centre observation tower; accessible via lifts with a disabled toilet, and a personalized Skywalk experience can be arranged for wheelchair users in advance. 360 views + revolving restaurant.",wheelchairtraveling firsthand,-33.8704994,151.2089471
Sydney,Queen Victoria Building (QVB),False,GOOD,GOOD,GOOD,MEDIUM,"Historic ornate shopping arcade; joined to modern malls with lifts and accessible restrooms, more accessible shops/cafes than the nearby Strand Arcade. Good rainy-day stroll.",wheelchairtraveling firsthand,-33.8714355,151.2066693
